Target Distance:1,Step Size:100
0 : Mover object mode is invaild
After 1 steps, thr mover has the following location:

8965 : (x,y) = (-9.33145,58.4131)

8966 : (x,y) = (-8.47026,57.9049)

8967 : (x,y) = (-8.6485,58.8889)

8968 : (x,y) = (-7.77245,58.4066)

8969 : (x,y) = (-7.60248,59.3921)

8970 : (x,y) = (-7.14,60.2787)

8971 : (x,y) = (-6.31466,60.8434)

8972 : (x,y) = (-6.03754,61.8042)

8973 : (x,y) = (-5.42631,61.0127)

8974 : (x,y) = (-4.58985,61.5608)

8975 : (x,y) = (-5.58247,61.6821)

8976 : (x,y) = (-4.78639,62.2872)

8977 : (x,y) = (-4.43337,63.2229)

8978 : (x,y) = (-3.47803,63.5184)

8979 : (x,y) = (-3.44724,64.5179)

8980 : (x,y) = (-3.22823,65.4936)

8981 : (x,y) = (-2.35549,65.9818)

8982 : (x,y) = (-1.6756,65.2485)

8983 : (x,y) = (-1.48596,66.2303)

8984 : (x,y) = (-1.63776,65.2419)

8985 : (x,y) = (-0.698384,65.5848)

8986 : (x,y) = (-0.680774,64.585)

8987 : (x,y) = (-1.22242,63.7444)

8988 : (x,y) = (-1.91798,64.4628)

8989 : (x,y) = (-1.60568,63.5129)

8990 : (x,y) = (-2.30124,64.2313)

8991 : (x,y) = (-2.80884,63.3697)

8992 : (x,y) = (-3.33085,64.2227)

8993 : (x,y) = (-4.32752,64.3042)

8994 : (x,y) = (-4.84953,65.1571)

8995 : (x,y) = (-4.23578,65.9466)

8996 : (x,y) = (-3.25842,65.735)

8997 : (x,y) = (-4.04323,65.1153)

8998 : (x,y) = (-4.41637,64.1875)

8999 : (x,y) = (-3.55014,63.6879)

9000 : (x,y) = (-2.80043,63.0261)

9001 : (x,y) = (-3.78575,63.1969)

9002 : (x,y) = (-2.79852,63.3562)

9003 : (x,y) = (-3.68937,63.8105)

9004 : (x,y) = (-3.5788,64.8043)

9005 : (x,y) = (-2.97551,64.0068)

9006 : (x,y) = (-2.41284,63.1801)

9007 : (x,y) = (-2.16467,64.1489)

9008 : (x,y) = (-1.236,64.5198)

9009 : (x,y) = (-2.23411,64.5813)

9010 : (x,y) = (-1.59942,63.8086)

9011 : (x,y) = (-2.33219,63.1281)

9012 : (x,y) = (-2.99337,62.3779)

9013 : (x,y) = (-2.21153,61.7544)

9014 : (x,y) = (-1.50286,61.0488)

9015 : (x,y) = (-0.973698,60.2003)

9016 : (x,y) = (-1.03287,61.1986)

9017 : (x,y) = (-0.0576693,60.9772)

9018 : (x,y) = (-1.02938,60.7411)

9019 : (x,y) = (-1.61789,61.5496)

9020 : (x,y) = (-2.13134,62.4077)

9021 : (x,y) = (-1.13143,62.3945)

9022 : (x,y) = (-0.147582,62.5735)

9023 : (x,y) = (0.784746,62.9351)

9024 : (x,y) = (0.458443,61.9899)

9025 : (x,y) = (0.42606,60.9904)

9026 : (x,y) = (0.189131,61.9619)

9027 : (x,y) = (-0.184007,61.0342)

9028 : (x,y) = (-0.547849,60.1027)

9029 : (x,y) = (-1.53015,59.9154)

9030 : (x,y) = (-2.38704,60.4309)

9031 : (x,y) = (-1.69985,59.7044)

9032 : (x,y) = (-0.991184,58.9989)

9033 : (x,y) = (-0.594766,58.0808)

9034 : (x,y) = (-1.24081,57.3175)

9035 : (x,y) = (-1.24001,58.3175)

9036 : (x,y) = (-1.53477,59.2731)

9037 : (x,y) = (-0.972103,58.4464)

9038 : (x,y) = (-1.6458,59.1854)

9039 : (x,y) = (-2.39866,58.5272)

9040 : (x,y) = (-2.52074,57.5347)

9041 : (x,y) = (-1.75153,56.8957)

9042 : (x,y) = (-0.922363,56.3367)

9043 : (x,y) = (0.0749605,56.2636)

9044 : (x,y) = (-0.499863,55.4453)

9045 : (x,y) = (-0.290625,56.4232)

9046 : (x,y) = (-0.651498,57.3558)

9047 : (x,y) = (-1.0523,56.4396)

9048 : (x,y) = (-0.0586955,56.3267)

9049 : (x,y) = (-0.647197,57.1352)

9050 : (x,y) = (-0.798996,56.1468)

9051 : (x,y) = (-0.708325,57.1426)

9052 : (x,y) = (-0.0483417,57.8939)

9053 : (x,y) = (-0.952414,58.3213)

9054 : (x,y) = (-0.257996,57.6017)

9055 : (x,y) = (0.129221,56.6797)

9056 : (x,y) = (-0.870778,56.6813)

9057 : (x,y) = (-1.81951,56.9974)

9058 : (x,y) = (-2.66055,57.5384)

9059 : (x,y) = (-3.21057,56.7032)

9060 : (x,y) = (-2.69575,57.5605)

9061 : (x,y) = (-3.44651,58.2211)

9062 : (x,y) = (-3.51883,57.2237)

9063 : (x,y) = (-4.35617,56.677)

9064 : (x,y) = (-3.69858,55.9237)

9065 : (x,y) = (-4.64832,55.6106)

9066 : (x,y) = (-4.99346,54.6721)

9067 : (x,y) = (-4.38223,53.8806)

9068 : (x,y) = (-5.37739,53.7824)

9069 : (x,y) = (-6.34337,54.041)

9070 : (x,y) = (-7.33238,53.8931)

9071 : (x,y) = (-8.0897,54.5462)

9072 : (x,y) = (-8.14887,55.5444)

9073 : (x,y) = (-7.15387,55.6442)

9074 : (x,y) = (-6.1765,55.4327)

9075 : (x,y) = (-6.56519,56.354)

9076 : (x,y) = (-6.35907,55.3755)

9077 : (x,y) = (-6.43819,56.3724)

9078 : (x,y) = (-5.50342,56.0171)

9079 : (x,y) = (-6.43987,55.6663)

9080 : (x,y) = (-6.41908,56.6661)

9081 : (x,y) = (-6.78926,57.5951)

9082 : (x,y) = (-7.35324,58.4209)

9083 : (x,y) = (-7.98389,57.6448)

9084 : (x,y) = (-7.64966,58.5873)

9085 : (x,y) = (-6.7506,58.1495)

9086 : (x,y) = (-5.9087,58.6891)

9087 : (x,y) = (-5.44621,59.5757)

9088 : (x,y) = (-6.43207,59.4081)

9089 : (x,y) = (-5.68026,60.0675)

9090 : (x,y) = (-4.69004,60.207)

9091 : (x,y) = (-4.02258,60.9517)

9092 : (x,y) = (-3.91201,61.9455)

9093 : (x,y) = (-3.31673,61.142)

9094 : (x,y) = (-3.00141,62.091)

9095 : (x,y) = (-3.99441,61.9729)

9096 : (x,y) = (-3.07856,61.5713)

9097 : (x,y) = (-2.15487,61.1882)

9098 : (x,y) = (-1.16764,61.3475)

9099 : (x,y) = (-1.15685,62.3475)

9100 : (x,y) = (-0.305991,61.8221)

9101 : (x,y) = (-0.408201,60.8273)

9102 : (x,y) = (-1.38656,60.6204)

9103 : (x,y) = (-1.84158,59.7299)

9104 : (x,y) = (-1.82078,60.7297)

9105 : (x,y) = (-1.97931,61.7171)

9106 : (x,y) = (-1.09232,62.1788)

9107 : (x,y) = (-1.26072,63.1646)

9108 : (x,y) = (-1.99811,63.84)

9109 : (x,y) = (-0.998311,63.86)

9110 : (x,y) = (-0.102258,64.304)

9111 : (x,y) = (0.333424,65.2041)

9112 : (x,y) = (0.998511,64.4573)

9113 : (x,y) = (1.53881,65.2988)

9114 : (x,y) = (1.75782,66.2745)

9115 : (x,y) = (1.72862,67.2741)

9116 : (x,y) = (1.71942,68.274)

9117 : (x,y) = (2.58565,67.7744)

9118 : (x,y) = (1.6101,67.9942)

9119 : (x,y) = (0.936401,68.7332)

9120 : (x,y) = (0.45488,67.8567)

9121 : (x,y) = (1.21972,68.501)

9122 : (x,y) = (1.3668,67.5118)

9123 : (x,y) = (1.57604,68.4897)

9124 : (x,y) = (2.51081,68.1344)

9125 : (x,y) = (3.50102,68.274)

9126 : (x,y) = (2.71819,68.8962)

9127 : (x,y) = (2.53681,67.9128)

9128 : (x,y) = (2.35857,68.8968)

9129 : (x,y) = (1.66072,68.1805)

9130 : (x,y) = (2.65186,68.0478)

9131 : (x,y) = (1.65493,67.9694)

9132 : (x,y) = (2.07871,67.0637)

9133 : (x,y) = (1.81275,68.0276)

9134 : (x,y) = (1.05542,68.6807)

9135 : (x,y) = (0.142985,69.0899)

9136 : (x,y) = (0.844564,68.3773)

9137 : (x,y) = (-0.130984,68.5971)

9138 : (x,y) = (0.498428,69.3742)

9139 : (x,y) = (1.38395,68.9096)

9140 : (x,y) = (1.8347,68.0169)

9141 : (x,y) = (1.2197,67.2284)

9142 : (x,y) = (1.39638,66.2441)

9143 : (x,y) = (0.62412,65.6088)

9144 : (x,y) = (-0.216921,66.1498)

9145 : (x,y) = (0.254408,67.0317)

9146 : (x,y) = (0.817077,66.2051)

9147 : (x,y) = (1.3547,65.3619)

9148 : (x,y) = (2.29297,65.016)

9149 : (x,y) = (1.48002,65.5983)

9150 : (x,y) = (2.04269,64.7716)

9151 : (x,y) = (2.84288,64.1719)

9152 : (x,y) = (3.62045,64.8007)

9153 : (x,y) = (4.31716,65.518)

9154 : (x,y) = (5.082,66.1622)

9155 : (x,y) = (5.88815,65.5705)

9156 : (x,y) = (6.32383,66.4706)

9157 : (x,y) = (6.31144,65.4707)

9158 : (x,y) = (6.8433,66.3175)

9159 : (x,y) = (5.88181,66.0427)

9160 : (x,y) = (6.22545,66.9818)

9161 : (x,y) = (6.33602,67.9757)

9162 : (x,y) = (5.33993,67.8874)

9163 : (x,y) = (5.24767,66.8917)

9164 : (x,y) = (4.25632,67.0229)

9165 : (x,y) = (4.99936,66.3536)

9166 : (x,y) = (5.97456,66.1323)

9167 : (x,y) = (6.75013,65.501)

9168 : (x,y) = (7.38728,66.2718)

9169 : (x,y) = (6.39551,66.1437)

9170 : (x,y) = (7.04553,65.3838)

9171 : (x,y) = (8.04053,65.4836)

9172 : (x,y) = (9.00692,65.7407)

9173 : (x,y) = (8.51944,66.6138)

9174 : (x,y) = (8.00326,65.7574)

9175 : (x,y) = (8.36562,66.6894)

9176 : (x,y) = (9.23344,67.1863)

9177 : (x,y) = (8.65046,66.3738)

9178 : (x,y) = (9.03138,67.2984)

9179 : (x,y) = (8.0439,67.1407)

9180 : (x,y) = (7.16556,66.6626)

9181 : (x,y) = (7.74724,67.476)

9182 : (x,y) = (8.38439,68.2468)

9183 : (x,y) = (9.27139,68.7086)

9184 : (x,y) = (10.2227,68.4005)

9185 : (x,y) = (9.9345,67.4429)

9186 : (x,y) = (10.9318,67.3698)

9187 : (x,y) = (10.7308,66.3902)

9188 : (x,y) = (10.0002,67.073)

9189 : (x,y) = (10.7586,67.7248)

9190 : (x,y) = (9.90005,67.2121)

9191 : (x,y) = (10.5295,67.9891)

9192 : (x,y) = (10.4205,68.9832)

9193 : (x,y) = (10.4181,67.9832)

9194 : (x,y) = (11.3082,67.5275)

9195 : (x,y) = (12.171,68.033)

9196 : (x,y) = (12.4451,67.0713)

9197 : (x,y) = (13.1699,67.7602)

9198 : (x,y) = (14.1519,67.9491)

9199 : (x,y) = (14.0529,68.9442)

9200 : (x,y) = (13.1248,69.3165)

9201 : (x,y) = (14.0676,69.65)

9202 : (x,y) = (14.9236,69.1332)

9203 : (x,y) = (15.895,69.3709)

9204 : (x,y) = (15.1829,68.6687)

9205 : (x,y) = (14.4502,67.9883)

9206 : (x,y) = (15.3578,67.5685)

9207 : (x,y) = (15.1178,66.5977)

9208 : (x,y) = (14.6539,65.7118)

9209 : (x,y) = (14.7114,64.7135)

9210 : (x,y) = (14.3757,63.7715)

9211 : (x,y) = (15.3669,63.6387)

9212 : (x,y) = (14.8336,62.7928)

9213 : (x,y) = (14.2614,63.6129)

9214 : (x,y) = (14.8672,64.4085)

9215 : (x,y) = (15.4463,63.5932)

9216 : (x,y) = (14.6036,63.0549)

9217 : (x,y) = (13.6146,62.9071)

9218 : (x,y) = (13.0841,63.7547)

9219 : (x,y) = (13.8862,64.3519)

9220 : (x,y) = (14.3547,63.4685)

9221 : (x,y) = (14.9763,64.2518)

9222 : (x,y) = (14.0078,64.5007)

9223 : (x,y) = (13.0224,64.6715)

9224 : (x,y) = (14.0175,64.7713)

9225 : (x,y) = (14.9948,64.5598)

9226 : (x,y) = (15.9916,64.6397)

9227 : (x,y) = (16.8493,65.1538)

9228 : (x,y) = (16.4855,64.2223)

9229 : (x,y) = (17.3756,63.7666)

9230 : (x,y) = (18.3238,63.449)

9231 : (x,y) = (18.4741,64.4377)

9232 : (x,y) = (19.4721,64.3745)

9233 : (x,y) = (18.4917,64.1774)

9234 : (x,y) = (17.4979,64.2888)

9235 : (x,y) = (18.4907,64.4085)

9236 : (x,y) = (17.5265,64.1433)

9237 : (x,y) = (18.5261,64.1733)

9238 : (x,y) = (17.5266,64.2049)

9239 : (x,y) = (17.6439,63.2118)

9240 : (x,y) = (16.7442,63.6482)

9241 : (x,y) = (15.9913,62.99)

9242 : (x,y) = (16.987,62.897)

9243 : (x,y) = (17.932,62.5699)

9244 : (x,y) = (18.8409,62.9868)

9245 : (x,y) = (18.6235,63.9628)

9246 : (x,y) = (18.5643,64.9611)

9247 : (x,y) = (17.7733,64.3492)

9248 : (x,y) = (16.793,64.1521)

9249 : (x,y) = (16.4982,65.1077)

9250 : (x,y) = (16.549,66.1064)

9251 : (x,y) = (16.0851,65.2205)

9252 : (x,y) = (16.5089,64.3148)

9253 : (x,y) = (16.8401,63.3712)

9254 : (x,y) = (17.3377,64.2386)

9255 : (x,y) = (17.4946,63.251)

9256 : (x,y) = (17.5554,64.2492)

9257 : (x,y) = (18.257,63.5366)

9258 : (x,y) = (19.2472,63.6761)

9259 : (x,y) = (20.2452,63.613)

9260 : (x,y) = (19.6302,62.8245)

9261 : (x,y) = (18.7021,63.1969)

9262 : (x,y) = (17.9298,62.5616)

9263 : (x,y) = (17.9406,63.5615)

9264 : (x,y) = (17.9982,62.5632)

9265 : (x,y) = (18.8491,62.0378)

9266 : (x,y) = (18.6874,61.0509)

9267 : (x,y) = (17.6956,60.9229)

9268 : (x,y) = (16.9108,60.3031)

9269 : (x,y) = (17.1493,61.2743)

9270 : (x,y) = (17.7917,60.5079)

9271 : (x,y) = (18.7399,60.1903)

9272 : (x,y) = (19.483,59.5211)

9273 : (x,y) = (18.5332,59.208)

9274 : (x,y) = (17.8948,58.4383)

9275 : (x,y) = (17.2667,59.2164)

9276 : (x,y) = (16.7193,60.0533)

9277 : (x,y) = (17.3641,60.8176)

9278 : (x,y) = (17.4217,59.8192)

9279 : (x,y) = (17.3096,58.8255)

9280 : (x,y) = (17.5674,59.7917)

9281 : (x,y) = (16.7356,59.2367)

9282 : (x,y) = (17.6554,58.8443)

9283 : (x,y) = (18.3663,59.5476)

9284 : (x,y) = (18.6145,60.5163)

9285 : (x,y) = (18.6721,59.518)

9286 : (x,y) = (19.6677,59.425)

9287 : (x,y) = (19.529,60.4153)

9288 : (x,y) = (19.0651,59.5294)

9289 : (x,y) = (19.2712,58.5509)

9290 : (x,y) = (18.9734,57.5962)

9291 : (x,y) = (19.0709,56.601)

9292 : (x,y) = (20.0576,56.4385)

9293 : (x,y) = (19.1745,55.9693)

9294 : (x,y) = (18.7646,55.0572)

9295 : (x,y) = (19.6223,55.5713)

9296 : (x,y) = (19.0073,54.7828)

9297 : (x,y) = (19.5193,53.9239)

9298 : (x,y) = (19.6763,52.9363)

9299 : (x,y) = (20.1798,52.0723)

9300 : (x,y) = (19.5752,52.8688)

9301 : (x,y) = (20.4261,52.3434)

9302 : (x,y) = (20.4369,53.3434)

9303 : (x,y) = (20.4745,52.3441)

9304 : (x,y) = (21.4539,52.1423)

9305 : (x,y) = (20.6649,52.7567)

9306 : (x,y) = (19.7865,52.2786)

9307 : (x,y) = (20.4366,51.5187)

9308 : (x,y) = (20.4842,50.5198)

9309 : (x,y) = (19.7604,51.2099)

9310 : (x,y) = (20.1291,50.2804)

9311 : (x,y) = (19.8409,49.3228)

9312 : (x,y) = (18.8468,49.2146)

9313 : (x,y) = (19.5716,49.9035)

9314 : (x,y) = (18.6229,50.2196)

9315 : (x,y) = (18.1267,51.0878)

9316 : (x,y) = (17.1315,50.9896)

9317 : (x,y) = (16.6616,51.8723)

9318 : (x,y) = (16.6524,52.8723)

9319 : (x,y) = (15.9987,52.1154)

9320 : (x,y) = (15.0026,52.0272)

9321 : (x,y) = (15.6527,51.2672)

9322 : (x,y) = (16.2975,52.0316)

9323 : (x,y) = (16.2451,51.0329)

9324 : (x,y) = (17.2391,51.1427)

9325 : (x,y) = (17.7512,50.2838)

9326 : (x,y) = (17.0849,51.0295)

9327 : (x,y) = (16.7806,51.9821)

9328 : (x,y) = (17.7781,52.052)

9329 : (x,y) = (17.7489,53.0516)

9330 : (x,y) = (18.6298,52.5781)

9331 : (x,y) = (18.8457,51.6017)

9332 : (x,y) = (19.2236,50.6759)

9333 : (x,y) = (19.6412,51.5846)

9334 : (x,y) = (19.3753,52.5485)

9335 : (x,y) = (20.01,51.7758)

9336 : (x,y) = (20.2551,50.8063)

9337 : (x,y) = (19.9891,51.7703)

9338 : (x,y) = (19.4756,52.6284)

9339 : (x,y) = (19.953,51.7496)

9340 : (x,y) = (20.8577,52.1756)

9341 : (x,y) = (20.5983,51.2098)

9342 : (x,y) = (19.9702,51.9879)

9343 : (x,y) = (20.9675,51.9148)

9344 : (x,y) = (21.8709,51.4859)

9345 : (x,y) = (20.9504,51.8768)

9346 : (x,y) = (20.4894,52.7642)

9347 : (x,y) = (21.3669,53.2436)

9348 : (x,y) = (20.6691,52.5274)

9349 : (x,y) = (20.3713,51.5727)

9350 : (x,y) = (20.1899,50.5893)

9351 : (x,y) = (21.1896,50.5661)

9352 : (x,y) = (20.9399,49.5978)

9353 : (x,y) = (21.087,48.6087)

9354 : (x,y) = (22.0726,48.7779)

9355 : (x,y) = (21.6115,49.6652)

9356 : (x,y) = (21.1126,48.7986)

9357 : (x,y) = (20.8274,49.7571)

9358 : (x,y) = (19.8668,50.035)

9359 : (x,y) = (19.8276,51.0342)

9360 : (x,y) = (19.3576,51.9169)

9361 : (x,y) = (18.8356,52.7699)

9362 : (x,y) = (19.8038,52.5194)

9363 : (x,y) = (19.6354,53.5051)

9364 : (x,y) = (18.898,54.1805)

9365 : (x,y) = (18.4789,53.2726)

9366 : (x,y) = (17.4848,53.1644)

9367 : (x,y) = (17.7811,54.1195)

9368 : (x,y) = (16.7813,54.1411)

9369 : (x,y) = (16.8121,55.1406)

9370 : (x,y) = (16.4326,56.0658)

9371 : (x,y) = (16.9128,56.943)

9372 : (x,y) = (16.0809,56.388)

9373 : (x,y) = (15.2328,55.8581)

9374 : (x,y) = (14.8783,54.9231)

9375 : (x,y) = (14.4502,54.0194)

9376 : (x,y) = (14.3879,53.0213)

9377 : (x,y) = (13.5789,52.4334)

9378 : (x,y) = (13.5098,53.4311)

9379 : (x,y) = (14.1289,52.6458)

9380 : (x,y) = (13.4602,51.9022)

9381 : (x,y) = (13.8226,52.8342)

9382 : (x,y) = (14.7915,53.0816)

9383 : (x,y) = (14.5449,54.0507)

9384 : (x,y) = (14.0899,53.1602)

9385 : (x,y) = (14.6931,52.3627)

9386 : (x,y) = (13.8245,51.8672)

9387 : (x,y) = (14.7404,51.4657)

9388 : (x,y) = (13.7518,51.6167)

9389 : (x,y) = (14.7465,51.5137)

9390 : (x,y) = (14.0705,50.7768)

9391 : (x,y) = (13.2674,50.1809)

9392 : (x,y) = (13.721,51.0721)

9393 : (x,y) = (12.9637,51.7252)

9394 : (x,y) = (13.6746,52.4285)

9395 : (x,y) = (14.6357,52.7048)

9396 : (x,y) = (14.1195,51.8483)

9397 : (x,y) = (14.4537,52.7908)

9398 : (x,y) = (13.4545,52.7524)

9399 : (x,y) = (13.2047,51.7841)

9400 : (x,y) = (13.3054,52.779)

9401 : (x,y) = (14.2,52.3322)

9402 : (x,y) = (13.2125,52.1745)

9403 : (x,y) = (12.6991,53.0326)

9404 : (x,y) = (12.1659,52.1866)

9405 : (x,y) = (13.0574,52.6395)

9406 : (x,y) = (13.8071,51.9777)

9407 : (x,y) = (12.8073,51.9593)

9408 : (x,y) = (13.8059,51.9062)

9409 : (x,y) = (13.2502,52.7375)

9410 : (x,y) = (14.1262,52.2553)

9411 : (x,y) = (13.1421,52.0779)

9412 : (x,y) = (12.1644,52.2879)

9413 : (x,y) = (11.6339,53.1356)

9414 : (x,y) = (12.4704,53.6836)

9415 : (x,y) = (12.4012,54.6812)

9416 : (x,y) = (11.6061,55.2876)

9417 : (x,y) = (12.5259,54.8953)

9418 : (x,y) = (13.5232,54.8222)

9419 : (x,y) = (13.6139,55.818)

9420 : (x,y) = (12.9041,56.5225)

9421 : (x,y) = (13.1974,55.5664)

9422 : (x,y) = (13.6121,54.6565)

9423 : (x,y) = (14.5873,54.4351)

9424 : (x,y) = (15.5083,54.8245)

9425 : (x,y) = (14.751,55.4776)

9426 : (x,y) = (14.2205,56.3253)

9427 : (x,y) = (15.1165,56.7692)

9428 : (x,y) = (14.9679,57.7581)

9429 : (x,y) = (14.2373,58.4409)

9430 : (x,y) = (13.2918,58.7665)

9431 : (x,y) = (12.4544,58.2198)

9432 : (x,y) = (13.2606,57.628)

9433 : (x,y) = (12.8782,56.704)

9434 : (x,y) = (13.4599,57.5175)

9435 : (x,y) = (13.0227,56.6181)

9436 : (x,y) = (12.2832,55.9449)

9437 : (x,y) = (13.273,55.8023)

9438 : (x,y) = (13.0427,54.8291)

9439 : (x,y) = (12.0741,55.0781)

9440 : (x,y) = (11.5325,54.2375)

9441 : (x,y) = (10.6242,54.6558)

9442 : (x,y) = (11.5724,54.3382)

9443 : (x,y) = (10.5738,54.3898)

9444 : (x,y) = (10.5646,55.3897)

9445 : (x,y) = (9.86671,54.6735)

9446 : (x,y) = (8.88315,54.8541)

9447 : (x,y) = (9.78221,54.4162)

9448 : (x,y) = (9.38141,53.5001)

9449 : (x,y) = (8.40103,53.303)

9450 : (x,y) = (7.52751,52.8162)

9451 : (x,y) = (8.40025,53.3044)

9452 : (x,y) = (8.01157,54.2257)

9453 : (x,y) = (8.76993,54.8776)

9454 : (x,y) = (8.16284,54.0829)

9455 : (x,y) = (7.25877,54.5103)

9456 : (x,y) = (6.48651,53.875)

9457 : (x,y) = (5.90612,54.6893)

9458 : (x,y) = (5.44505,55.5767)

9459 : (x,y) = (5.23425,54.5992)

9460 : (x,y) = (6.21984,54.7684)

9461 : (x,y) = (6.5822,55.7004)

9462 : (x,y) = (5.74661,56.2498)

9463 : (x,y) = (6.72027,56.4777)

9464 : (x,y) = (6.28603,57.3785)

9465 : (x,y) = (5.57623,58.0829)

9466 : (x,y) = (5.2031,57.1552)

9467 : (x,y) = (6.04865,56.6213)

9468 : (x,y) = (7.04366,56.7211)

9469 : (x,y) = (6.47967,57.5469)

9470 : (x,y) = (7.47468,57.6467)

9471 : (x,y) = (7.26388,56.6692)

9472 : (x,y) = (7.67237,57.582)

9473 : (x,y) = (6.83133,58.1229)

9474 : (x,y) = (6.38809,59.0193)

9475 : (x,y) = (5.55251,59.5687)

9476 : (x,y) = (5.07098,58.6923)

9477 : (x,y) = (6.02234,58.3842)

9478 : (x,y) = (5.85081,57.399)

9479 : (x,y) = (6.57564,58.0879)

9480 : (x,y) = (7.38952,58.6689)

9481 : (x,y) = (8.38932,58.6889)

9482 : (x,y) = (7.93431,57.7985)

9483 : (x,y) = (8.09441,58.7856)

9484 : (x,y) = (7.17397,59.1764)

9485 : (x,y) = (6.19773,58.9598)

9486 : (x,y) = (5.89992,58.0051)

9487 : (x,y) = (4.91954,57.808)

9488 : (x,y) = (5.81111,58.2609)

9489 : (x,y) = (5.83191,59.2607)

9490 : (x,y) = (5.46172,60.1897)

9491 : (x,y) = (5.66117,61.1696)

9492 : (x,y) = (6.58099,60.7772)

9493 : (x,y) = (6.95897,59.8514)

9494 : (x,y) = (7.46519,60.7138)

9495 : (x,y) = (6.98646,61.5918)

9496 : (x,y) = (7.26052,60.6301)

9497 : (x,y) = (6.75567,61.4933)

9498 : (x,y) = (6.0229,60.8128)

9499 : (x,y) = (5.04735,61.0326)

9500 : (x,y) = (4.23255,60.4528)

9501 : (x,y) = (3.24078,60.3248)

9502 : (x,y) = (2.38389,60.8403)

9503 : (x,y) = (2.13418,59.872)

9504 : (x,y) = (2.90542,60.5085)

9505 : (x,y) = (2.11641,61.1229)

9506 : (x,y) = (2.62263,61.9853)

9507 : (x,y) = (2.66023,60.986)

9508 : (x,y) = (3.42944,60.347)

9509 : (x,y) = (4.40238,60.1159)

9510 : (x,y) = (3.49695,59.6914)

9511 : (x,y) = (3.21176,60.6499)

9512 : (x,y) = (2.85089,61.5825)

9513 : (x,y) = (3.83096,61.7812)

9514 : (x,y) = (4.67821,62.3124)

9515 : (x,y) = (3.86925,61.7245)

9516 : (x,y) = (4.70942,61.1822)

9517 : (x,y) = (5.59176,61.6528)

9518 : (x,y) = (5.54938,60.6537)

9519 : (x,y) = (5.80415,59.6867)

9520 : (x,y) = (6.54933,60.3536)

9521 : (x,y) = (6.45028,61.3487)

9522 : (x,y) = (6.01604,62.2495)

9523 : (x,y) = (6.53669,61.3957)

9524 : (x,y) = (6.09957,60.4963)

9525 : (x,y) = (7.09552,60.5862)

9526 : (x,y) = (7.91517,61.159)

9527 : (x,y) = (8.70516,61.7722)

9528 : (x,y) = (8.50415,60.7926)

9529 : (x,y) = (8.57171,59.7949)

9530 : (x,y) = (7.67057,59.3613)

9531 : (x,y) = (7.19784,58.4801)

9532 : (x,y) = (6.82766,59.4091)

9533 : (x,y) = (6.62665,58.4295)

9534 : (x,y) = (6.28151,57.4909)

9535 : (x,y) = (5.77666,58.3541)

9536 : (x,y) = (6.6429,57.8545)

9537 : (x,y) = (6.42544,58.8306)

9538 : (x,y) = (5.55683,58.3351)

9539 : (x,y) = (6.37071,58.9161)

9540 : (x,y) = (5.68006,58.1929)

9541 : (x,y) = (6.50922,57.6339)

9542 : (x,y) = (6.10843,56.7178)

9543 : (x,y) = (5.14693,56.4429)

9544 : (x,y) = (5.99419,56.9741)

9545 : (x,y) = (6.56771,57.7933)

9546 : (x,y) = (6.48859,58.7902)

9547 : (x,y) = (5.67563,59.3725)

9548 : (x,y) = (4.71785,59.66)

9549 : (x,y) = (5.66708,59.9745)

9550 : (x,y) = (4.67224,60.076)

9551 : (x,y) = (5.67179,60.106)

9552 : (x,y) = (5.92964,61.0721)

9553 : (x,y) = (6.78216,61.5948)

9554 : (x,y) = (5.80813,61.3684)

9555 : (x,y) = (6.68572,61.8478)

9556 : (x,y) = (7.20637,60.9941)

9557 : (x,y) = (6.20944,60.9157)

9558 : (x,y) = (5.57106,60.146)

9559 : (x,y) = (6.40022,59.587)

9560 : (x,y) = (6.42102,60.5868)

9561 : (x,y) = (5.43689,60.4093)

9562 : (x,y) = (4.95817,61.2873)

9563 : (x,y) = (5.65258,60.5677)

9564 : (x,y) = (5.68019,59.5681)

9565 : (x,y) = (5.50194,60.5521)

9566 : (x,y) = (4.7049,59.9482)

9567 : (x,y) = (4.0899,59.1596)

